filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
Air.mp3,0.2665145993232727,0.054313696920871735,1943.9887631450447,1889.6335262676057,3721.22749824642,0.10729867090750773,-217.4683074951172,107.4606704711914,-32.719688415527344,39.62117385864258,-11.330484390258789,5.970460414886475,-15.11491584777832,8.677033424377441,-6.565790176391602,14.78480052947998,-8.687284469604492,12.439064025878906,-4.125490188598633,8.563310623168945,-1.0302654504776,7.398066520690918,-8.807790756225586,-0.04669272154569626,-3.305748701095581,2.107480764389038
"Air_on_the_G_String_(Suite_No._3,_BWV_1068)_J._S._Bach,_original_instruments.mp3",0.2931502163410187,0.07400882244110107,1113.2392104277778,1560.2128424141413,2256.203023715654,0.04883832901993034,-252.5653076171875,144.2962188720703,-0.43070968985557556,42.43849563598633,1.0373473167419434,7.30721378326416,-7.556453704833984,5.490694522857666,-0.6932958960533142,0.46601730585098267,-7.156080722808838,-4.0526604652404785,-4.456668376922607,-0.1698540300130844,-3.0684010982513428,0.25963878631591797,-2.8936116695404053,-0.6390119791030884,-1.2968432903289795,4.016549587249756
Anna-Moffo.mp3,0.22644872963428497,0.01929050125181675,980.9405326668772,1318.1498642784559,1591.523709607198,0.05123325029024768,-407.4700622558594,170.1873016357422,-4.165247440338135,20.81336784362793,-6.0761399269104,-6.894107818603516,4.6852617263793945,-3.094945192337036,-15.36061954498291,-6.37919282913208,-0.7370485663414001,5.173511981964111,2.852558135986328,6.809401035308838,-6.027461051940918,-5.96264123916626,-3.746250867843628,-0.9711256623268127,-4.391999244689941,0.9749563932418823
Bad-Day.mp3,0.23206059634685516,0.0673002153635025,1536.2036373651497,1503.909535250035,2774.049892366486,0.086905370186726,-246.947509765625,133.9900665283203,-34.925025939941406,12.54196834564209,-1.2681970596313477,-8.649085998535156,-9.384220123291016,-7.312427997589111,-9.222721099853516,-3.3195278644561768,-2.7000300884246826,-3.600306987762451,-12.667229652404785,-1.406940221786499,-1.301396369934082,-0.645269513130188,-7.325725078582764,-9.009482383728027,-11.809171676635742,-4.4798264503479
Beautiful.mp3,0.29964637756347656,0.101506307721138,1236.2815987979839,1783.6111399229744,2379.635610669021,0.0473576123500387,-238.97213745117188,147.75454711914062,-0.1897345930337906,31.731660842895508,18.230756759643555,0.23031875491142273,12.227228164672852,-1.9433473348617554,2.82397723197937,-5.441713333129883,-6.455850601196289,0.5115674138069153,-4.323197841644287,-2.834138870239258,-2.2732043266296387,-2.4804537296295166,-0.621077299118042,-0.42942947149276733,2.2295684814453125,3.533491849899292
Branderburg-Concerto-N3.mp3,0.2846471965312958,0.08002020418643951,2011.8406185563913,1932.098058254338,3781.235468719766,0.1156459371371904,-161.78256225585938,106.2760238647461,-34.22734069824219,34.3830680847168,2.019108772277832,3.1216793060302734,-7.967663288116455,-4.385599136352539,-10.015885353088379,0.4516907334327698,-8.81340503692627,-1.6438052654266357,-7.329601764678955,4.1939473152160645,-5.528141021728516,-1.6398237943649292,-3.0712664127349854,-0.460360586643219,-6.055941581726074,0.6612544655799866
Celtic-Moods.mp3,0.1909816712141037,0.11935115605592728,2189.1010948307403,2177.0053661024544,4281.615776321836,0.11973737120259288,-171.58648681640625,75.09020233154297,-18.806455612182617,5.481031894683838,-8.79182243347168,-4.594372272491455,-17.977039337158203,-7.332080364227295,-13.570536613464355,4.975914478302002,-9.009675979614258,-3.661066770553589,-6.811249732971191,-1.4655132293701172,0.32411709427833557,-1.5331366062164307,3.2582128047943115,7.369922161102295,-7.6167402267456055,6.843832492828369
Celtic-Odyssey.mp3,0.26009052991867065,0.10779476910829544,1205.345904500111,1656.2249675242788,2133.378766417134,0.055127028710332815,-266.0356140136719,145.92074584960938,14.707083702087402,18.589208602905273,3.6026644706726074,4.970217704772949,-5.912413120269775,0.31805944442749023,2.0373032093048096,1.7497501373291016,-3.120907783508301,-4.365947723388672,-7.2270660400390625,-6.559575080871582,-9.334625244140625,-7.958407878875732,-6.417193412780762,-1.9710031747817993,-0.8629026412963867,-0.19420284032821655
Celtic-Twilight.mp3,0.2527531683444977,0.026511697098612785,784.4667342972151,1016.3752169772547,1155.5846790042085,0.04947513544891641,-419.4466857910156,195.9347381591797,9.50070858001709,-21.714405059814453,6.279476642608643,-3.6731550693511963,-13.759814262390137,-8.273204803466797,-7.712993621826172,-10.178736686706543,-7.213859558105469,-4.642763137817383,-5.467212677001953,-4.09939432144165,-2.4548518657684326,-1.7891830205917358,1.6574896574020386,2.2849717140197754,-1.5562171936035156,-1.6347849369049072
Chopin_-_Piano_concerto_No._1_-_Romance_(Larghetto).mp3,0.13480524718761444,0.008608361706137657,673.5840276772713,798.1076058384918,1302.8087887601587,0.028856590436339008,-541.8372802734375,80.32077026367188,-11.345827102661133,18.64280128479004,0.9902160167694092,1.1086418628692627,0.22763420641422272,-2.765738010406494,-1.4399257898330688,-1.1669882535934448,-3.1616618633270264,-3.4362380504608154,-1.3047422170639038,0.4503903090953827,4.189830780029297,4.474485874176025,4.073612213134766,2.3163769245147705,0.90273517370224,-0.7658151984214783
