b'filename',b'decoder',b'samplerate (kHz)',b'samplewidth (bit)',b'n channels',b'n samples'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Gabriel_s_Oboe_-_Ennio_Morricone.mp3',b'ffmpeg',b'44100',b'16',b'2',b'8665601'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Garden_Scene_-_Erich_Korngold.mp3',b'ffmpeg',b'44100',b'16',b'2',b'13998593'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\George_Bizet_-_Carmen_Suite_#1_-__Intermezzo.mp3',b'ffmpeg',b'44100',b'16',b'2',b'7109633'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\George_Butterworth_-_The_Banks_of_Green_Willow_(1913).mp3',b'ffmpeg',b'44100',b'16',b'2',b'16067073'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\George_Winston_-_Forest_-_(Full_Album).mp3',b'ffmpeg',b'44100',b'16',b'2',b'121278464'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Gustav_Holst_-_Neptune.mp3',b'ffmpeg',b'44100',b'16',b'2',b'18706433'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Gustav_Holst_-_Venus.mp3',b'ffmpeg',b'44100',b'16',b'2',b'21735937'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Henry_Mancini_-_Moon_River.mp3',b'ffmpeg',b'44100',b'16',b'2',b'8012289'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Il_postino_-_colonna_sonora_(L._Bacalov).mp3',b'ffmpeg',b'44100',b'16',b'2',b'13673513'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Introduction___The_Moon_on_the_Ruined_Castle_(Kojo-No-Tsuki)_-_James_Galway.mp3',b'ffmpeg',b'44100',b'16',b'2',b'11955201'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\In_Her_Family.mp3',b'ffmpeg',b'44100',b'16',b'2',b'8767668'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\In_Paradisum_-_Requiem_-_Faure.mp3',b'ffmpeg',b'44100',b'16',b'2',b'9040897'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\James_Galway___Phil_Coulter_-__The_Gartan_Mother_s_Lullabye.mp3',b'ffmpeg',b'44100',b'16',b'2',b'9704961'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Jessica_Simpson_-_With_You_(Official_Music_Video).mp3',b'ffmpeg',b'44100',b'16',b'2',b'8456705'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Jules_Massenet_-_Meditation_from_Thais_for_Violin_and_Piano.mp3',b'ffmpeg',b'44100',b'16',b'2',b'14237697'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Luka_Bloom_-_Delirious.mp3',b'ffmpeg',b'44100',b'16',b'2',b'10159625'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Morning_-_Edvard_Grieg.mp3',b'ffmpeg',b'44100',b'16',b'2',b'9734657'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Mozart_-_Clarinet_Concerto_-_II._Adagio_____(Audio_Only).mp3',b'ffmpeg',b'44100',b'16',b'2',b'21258240'
"b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Mozart_-_Eine_kleine_Nacthtmusic,_Romance_-_Best-of_Classical_Music.mp3'",b'ffmpeg',b'44100',b'16',b'2',b'16079361'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Mozart_-_Piano_concerto_no_21_-_2nd_movement.mp3',b'ffmpeg',b'44100',b'16',b'2',b'14923777'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Mozart_Clarinet_Concerto_in_A_-_2nd_mvt.mp3',b'ffmpeg',b'44100',b'16',b'2',b'18524161'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\New_World.mp3',b'ffmpeg',b'44100',b'16',b'2',b'14823480'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Ocean_Sunset.mp3',b'ffmpeg',b'44100',b'16',b'2',b'24302593'
"b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Ottorino_Respighi,_Fontane_di_Roma_(I._Valle_Giulia_fountain_at_dawn).mp3'",b'ffmpeg',b'44100',b'16',b'2',b'11802625'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Pat_Metheny_with_Charlie_Haden_-_Cinema_Paradiso.mp3',b'ffmpeg',b'44100',b'16',b'2',b'13869057'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Peter_Paul___Mary_-_Puff_The_Magic_Dragon_(with_Lyrics).mp3',b'ffmpeg',b'44100',b'16',b'2',b'9129473'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Peter_Warlock_-_Pied-en-l_air.mp3',b'ffmpeg',b'44100',b'16',b'2',b'6550017'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Pierne_Concertstuck_for_Harp_and_Orchestra_op.39.mp3',b'ffmpeg',b'44100',b'16',b'2',b'43838464'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Puccini_-_Madama_Butterfly_-_Humming_chorus.mp3',b'ffmpeg',b'44100',b'16',b'2',b'7873025'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Rainforest.mp3',b'ffmpeg',b'44100',b'16',b'2',b'27893761'
"b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Ravel_-_Introduction_et_allegro_pour_harpe,_fl\xc3\xbbte,_clarinette_et_quatuor_\xc3\xa0_cordes_(1905).mp3'",b'ffmpeg',b'44100',b'16',b'2',b'27837953'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Reflections.mp3',b'ffmpeg',b'44100',b'16',b'2',b'11819521'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\requiem_pie_jesu_gabriel_faure.wmv.mp3',b'ffmpeg',b'44100',b'16',b'2',b'12122625'
"b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Respighi_-_The_Birds,_P._154_-_4._The_Nightingale.mp3'",b'ffmpeg',b'44100',b'16',b'2',b'11842561'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Robert_Bearns___Ron_Dexter_-_The_Golden_Voyage_Vol._Two_[Full_album].mp3',b'ffmpeg',b'44100',b'16',b'2',b'112287232'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Saint-Saens__-_The_Swan_(_Le_Cygne_)__-_Carnival_of_the_Animals.mp3',b'ffmpeg',b'44100',b'16',b'2',b'9153025'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Secret-Path.mp3',b'ffmpeg',b'44100',b'16',b'2',b'11114497'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Summer_Rain.mp3',b'ffmpeg',b'44100',b'16',b'2',b'30677136'
"b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\The_dove,_by_Respighi.mp3'",b'ffmpeg',b'44100',b'16',b'2',b'11390976'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\The_Pines_of_Rome_-_Iii._Pini_Del_Gianicolo.mp3',b'ffmpeg',b'44100',b'16',b'2',b'19198464'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\The_Wiggles_-_Go_to_Sleep_Jeff_(Brahms_Lullaby)_(2003).mp3',b'ffmpeg',b'44100',b'16',b'2',b'7500801'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Tony_Scott_-_Zen_Meditation_(1964)_HD.mp3',b'ffmpeg',b'44100',b'16',b'2',b'14156801'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Why-Worry.mp3',b'ffmpeg',b'44100',b'16',b'2',b'11312129'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\William_Walton_-_Touch_her_Soft_Lips_and_Part.mp3',b'ffmpeg',b'44100',b'16',b'2',b'5368320'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Windseeker.mp3',b'ffmpeg',b'44100',b'16',b'2',b'19884033'
